lei,name,ticker,exchange,shares,source,eps_derived,price,revenue_m,implied_cap_rev,note
529900EVOKN4LCCD9321,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS,AV,,,482231,154.6000,1589.6,,FILL IN
724500E5WW4731JJ4G46,Avantium N.V.,AVTX,NA,,,,4.9700,14.6,,FILL IN
549300AK8Y0LBIQ4T071,BIOMERIEUX SA,BIM,FP,,,,71.9000,4069.8,,FILL IN
74370089ATTSNBXJVT29,Biohit Oyj,BIOBV,FH,,,152111,2.3800,15.7,,FILL IN
743700ZKOMTB7X00OW54,Eezy Oyj,EEZY,FH,,,25800000,0.1880,139.3,,FILL IN
635400IUIZZIUJSAMF76,Fortum Oyj,FORTUM,FH,,,,23.4600,4989.0,,FILL IN
815600C851C90CAE6438,GAROFALO HEALTH CARE S.P.A.,GHC,IM,,,,5.3000,487.1,,FILL IN
8156009414FD99443B48,HERA S.P.A.,HER,IM,,,,3.5640,12812.2,,FILL IN
7437000PN6E448NPGY86,HKFoods Oyj,HKFOODS,FH,,,22000000,1.6520,996.4,,FILL IN
5493002B0GOVF42KWX33,Hiab Oyj,HIAB,FH,,,,61.2500,1556.3,,FILL IN
549300FLGHUKNZMHZN17,IEP INVEST,IEP,BB,,,4536842,0.0020,5.9,,FILL IN
815600B5D89DAB660021,IMMSI S.P.A.,IMS,IM,,,,0.5180,1592.8,,FILL IN
969500I9Y690B3FZW590,INVENTIVA,IVA,FP,,,186388421,3.3500,4.5,,FILL IN
815600F4A5F5D3BCD688,ITALIAN EXHIBITION GROUP S.P.A.,IEG,IM,,,,16.4500,0.3,,FILL IN
815600E546497667D288,ITALMOBILIARE SOCIETA' PER AZIONI O IN FORMA ABBREVIATA ITALMOBILIARE SPA,ITM,IM,,,,25.2000,773.4,,FILL IN
5493000FHOCPRAERG577,Josef Manner & Comp. Aktiengesellschaft,MAN,AV,,,,102.0000,304.3,,FILL IN
724500J0ITXIWK2CJX62,N.V. Bever Holding,BEVER,NA,,,16481818,2.8000,-0.3,,FILL IN
969500667RSYIH8YL895,NANOBIOTIX,NANO,FP,,,47922000,30.7000,29.6,,FILL IN
549300CAAOUTT4QDOZ16,"PETROL, Slovenska energetska družba, d.d., Ljubljana",PETG,SV,,,41145390,,6139.8,,FILL IN
815600F8217BC7733697,PHARMANUTRA S.P.A.,PHN,IM,,,9576,74.3000,131.7,,FILL IN
724500Q41FHN0P1GPC53,PostNL N.V.,PNL,NA,,,5,0.8680,3324.0,,FILL IN
5493005HPJ40IY377O47,SOGEFI S.P.A.,SGF,IM,,,119465,2.0550,984.8,,FILL IN
969500WQFC6OAQYG7E65,TELEVISION FRANCAISE 1,TFI,FP,,,,6.7350,2296.9,,FILL IN
4N6SD705LP5XZKA2A097,Vantiva,VANTI,FP,,,491250000,0.0895,1736.0,,FILL IN
529900IIODYNYAZ2ID26,Zumtobel Group AG,ZAG,AV,,,,3.9100,1097.2,,FILL IN
097900BGMP0000061061,"AB ""Amber Grid""",AMG1L,LH,136000000,eps-derived,136000000,1.1900,69.6,2.33,
529900YXT3CDTZGS0R43,"AB ""Grigeo""",GRG1L,LH,131722222,eps-derived,131722222,1.0100,246.4,0.54,
5299005NNDRP09PFOY81,"AB ""VILKYŠKIŲ PIENINĖ""",VLP1L,LH,11886957,eps-derived,11886957,15.3500,286.9,0.64,
5493006MN6OH67U2YI74,AMG Critical Materials N.V.,AMG,NA,32106897,eps-derived,32106897,29.0000,1708.3,0.55,
724500Y6DUVHQD6OXN27,ASML Holding N.V.,ASML,NA,388918507,eps-derived,388918507,1377.2000,32667.3,16.40,
549300ZIL1V7D7F3YH40,ATENOR,ATEB,BB,57805000,eps-derived,57805000,1.0000,147.0,0.39,
8156008F25C4B0E7C860,AVIO S.P.A.,AVIO,IM,30811012,eps-derived,30811012,28.2100,583.7,1.49,
724500973ODKK3IFQ447,Adyen N.V.,ADYEN,NA,31613389,eps-derived,31613389,941.6000,2646.9,11.25,
743700KOUL1GQQQREP40,Afarak Group SE,AFAGR,FH,297767,eps-derived,297767,0.2480,0.1,0.52,
52990001IQUJ710GHH43,"Akcinė bendrovė ""Invalda INVL""",IVL1L,LH,12461376,eps-derived,12461376,27.4000,20.4,16.73,
5299005U9E85Y55OHK45,"Akcinė bendrovė ""ŽEMAITIJOS PIENAS""",ZMP1L,LH,40958491,eps-derived,40958491,2.7000,340.3,0.32,
